record_id,work_order,asset_tag,work_date,component,task,field_name,source_value,unit,technician_note
WO-88014,WO-88014,PHE-31,2026-05-10,plate pack,open inspection,plate_count_found,160,plates,counted after end cover removal
WO-88015,WO-88014,PHE-31,2026-05-10,gasket set,identify removed gasket,gasket_material_found,NBR,text,old asset register still says EPDM
WO-88016,WO-88015,PHE-31,2026-05-11,plate pack,rebuild,gasket_kit_part_number,GK-PHE31-NBR-160,text,kit label photograph entered in work order
WO-88017,WO-88015,PHE-31,2026-05-11,plate pack,rebuild,tightening_dimension_A,426.0,mm,measured after first compression pass
WO-88018,WO-88015,PHE-31,2026-05-11,tie bolts,rebuild torque,tie_bolt_torque,188.0,Nm,torque wrench TW-31-02
WO-88019,WO-88015,PHE-31,2026-05-11,nozzle flange,rebuild torque,nozzle_flange_bolt_torque,84.0,Nm,hot inlet flange
WO-88020,WO-88016,PHE-31,2026-05-12,hydrotest,test setup,hydrotest_pressure,9.5,bar,target test pressure
WO-88021,WO-88016,PHE-31,2026-05-12,hydrotest,test setup,hydrotest_duration,30.0,min,hold period from test sheet
WO-88022,WO-88016,PHE-31,2026-05-12,hydrotest,test result,pressure_drop,0.32,bar,"drop after 30 min, retest requested by supervisor"
WO-88023,WO-88016,PHE-31,2026-05-12,hydrotest,gauge entry,pressure_gauge_id,PG-31-HT-02,text,calibration certificate checked
WO-88024,WO-88017,PHE-31,2026-05-13,hold point,visual inspection,leak_check_observation,weep at lower right corner,text,not quantified
WO-88025,WO-88017,PHE-31,2026-05-13,documentation,closeout,permit_reference,,text,permit reference missing in CMMS closeout
TR-001,TREND-31,PHE-31,2026-03-02,plate pack,weekly check,tightening_dimension_A,430.96,mm,weekly trend before outage
TR-002,TREND-31,PHE-31,2026-03-03,plate pack,weekly check,tightening_dimension_A,430.92,mm,weekly trend before outage
TR-003,TREND-31,PHE-31,2026-03-04,plate pack,weekly check,tightening_dimension_A,430.88,mm,weekly trend before outage
TR-004,TREND-31,PHE-31,2026-03-05,plate pack,weekly check,tightening_dimension_A,430.84,mm,weekly trend before outage
TR-005,TREND-31,PHE-31,2026-03-06,plate pack,weekly check,tightening_dimension_A,430.8,mm,weekly trend before outage
TR-006,TREND-31,PHE-31,2026-03-07,plate pack,weekly check,tightening_dimension_A,430.76,mm,weekly trend before outage
TR-007,TREND-31,PHE-31,2026-03-08,plate pack,weekly check,tightening_dimension_A,430.72,mm,weekly trend before outage
TR-008,TREND-31,PHE-31,2026-03-09,plate pack,weekly check,tightening_dimension_A,430.68,mm,weekly trend before outage
TR-009,TREND-31,PHE-31,2026-03-10,plate pack,weekly check,tightening_dimension_A,430.64,mm,weekly trend before outage
TR-010,TREND-31,PHE-31,2026-03-11,plate pack,weekly check,tightening_dimension_A,430.6,mm,weekly trend before outage
TR-011,TREND-31,PHE-31,2026-03-12,plate pack,weekly check,tightening_dimension_A,430.56,mm,weekly trend before outage
TR-012,TREND-31,PHE-31,2026-03-13,plate pack,weekly check,tightening_dimension_A,430.52,mm,weekly trend before outage
TR-013,TREND-31,PHE-31,2026-03-14,plate pack,weekly check,tightening_dimension_A,430.48,mm,weekly trend before outage
